Date,Time,Marondera,Gweru,Mutare,Masvingo,Chinhoyi,Psi,Bridh,Mpilo,NMRL,Bindura,Kadoma,VicFalls,Gwanda,Lupane
26/03/20 , 04:30 , 0.390 , 0.533 , 0.441 , 9.61 , 0.351 , 0.402 , 9.46 , 14.4 , 0.406 , 0.376 , 0.382 , 0.502 , 0.376 , 0.299 , 0.502
26/03/20 , 04:33 , 0.348 , 0.573 , 0.442 , 10.9 , 0.324 , 0.403 , 15.6 , 12.3 , 0.391 , 0.349 , 0.388 , 0.499 , 0.349 , 0.297 , 0.499
26/03/20 , 04:36 , 0.277 , 0.460 , 0.415 , 16.3 , 0.341 , 0.531 , 13.0 , 12.0 , 0.512 , 0.414 , 0.340 , 0.451 , 0.414 , 0.299 , 0.451
26/03/20 , 04:39 , 0.337 , 0.547 , 0.531 , 9.02 , 0.450 , 0.302 , 10.3 , 13.3 , 0.519 , 0.364 , 0.296 , 0.447 , 0.364 , 0.409 , 0.447
26/03/20 , 04:42 , 0.303 , 0.535 , 0.449 , 11.7 , 0.407 , 0.454 , 10.2 , 13.9 , 0.525 , 0.407 , 0.436 , 0.401 , 0.407 , 0.243 , 0.401
26/03/20 , 04:45 , 0.322 , 0.432 , 0.370 , 10.4 , 0.392 , 0.373 , 8.91 , 10.7 , 0.389 , 0.303 , 0.334 , 0.461 , 0.303 , 0.291 , 0.461
26/03/20 , 04:48 , 0.370 , 0.551 , 0.458 , 9.80 , 0.366 , 0.458 , 11.8 , 13.6 , 0.480 , 0.280 , 0.411 , 0.337 , 0.280 , 0.277 , 0.337
26/03/20 , 04:51 , 0.373 , 0.509 , 0.307 , 11.2 , 0.301 , 0.368 , 10.9 , 10.6 , 0.340 , 0.337 , 0.323 , 0.329 , 0.337 , 0.320 , 0.329
26/03/20 , 04:54 , 0.421 , 0.519 , 0.518 , 11.7 , 0.330 , 0.505 , 8.84 , 12.3 , 0.393 , 0.292 , 0.405 , 0.511 , 0.292 , 0.304 , 0.511
26/03/20 , 04:57 , 0.378 , 0.356 , 0.333 , 11.6 , 0.338 , 0.271 , 10.7 , 18.0 , 0.326 , 0.378 , 0.369 , 0.349 , 0.378 , 0.251 , 0.349
26/03/20 , 05:00 , 0.343 , 0.439 , 0.386 , 11.8 , 0.394 , 0.265 , 10.0 , 10.4 , 0.306 , 0.338 , 0.335 , 0.383 , 0.338 , 0.259 , 0.383
26/03/20 , 05:03 , 0.364 , 0.478 , 0.416 , 12.3 , 0.344 , 0.403 , 10.3 , 13.9 , 0.283 , 0.319 , 0.286 , 0.415 , 0.319 , 0.256 , 0.415
26/03/20 , 05:06 , 0.353 , 0.411 , 0.339 , 9.50 , 0.353 , 0.331 , 11.7 , 14.8 , 0.416 , 0.340 , 0.374 , 0.461 , 0.340 , 0.359 , 0.461
26/03/20 , 05:09 , 0.322 , 0.511 , 0.475 , 12.7 , 0.397 , 0.477 , 10.5 , 12.6 , 0.505 , 0.325 , 0.218 , 0.347 , 0.325 , 0.308 , 0.347
26/03/20 , 05:12 , 0.361 , 0.505 , 0.408 , 16.2 , 0.330 , 0.406 , 11.9 , 13.3 , 0.447 , 0.296 , 0.267 , 0.479 , 0.296 , 0.307 , 0.479
26/03/20 , 05:15 , 0.394 , 0.521 , 0.387 , 12.6 , 0.424 , 0.380 , 10.7 , 11.2 , 0.443 , 0.359 , 0.297 , 0.461 , 0.359 , 0.294 , 0.461
26/03/20 , 05:18 , 0.350 , 0.513 , 0.468 , 10.1 , 0.426 , 0.370 , 9.41 , 13.1 , 0.405 , 0.332 , 0.327 , 0.477 , 0.332 , 0.293 , 0.477
26/03/20 , 05:21 , 0.286 , 0.227 , 0.215 , 9.99 , 0.219 , 0.237 , 10.0 , 12.7 , 0.340 , 0.366 , 0.396 , 0.359 , 0.366 , 0.352 , 0.359
